Fecha;Precio $
02/01/2019;52,14Ê$
03/01/2019;52,93Ê$
04/01/2019;55,13Ê$
07/01/2019;56,42Ê$
08/01/2019;56,09Ê$
09/01/2019;58,22Ê$
10/01/2019;59,46Ê$
11/01/2019;60,00Ê$
14/01/2019;58,39Ê$
15/01/2019;58,24Ê$
16/01/2019;59,52Ê$
17/01/2019;59,63Ê$
18/01/2019;60,90Ê$
21/01/2019;61,49Ê$
22/01/2019;60,66Ê$
23/01/2019;60,52Ê$
24/01/2019;60,22Ê$
25/01/2019;60,90Ê$
28/01/2019;59,57Ê$
29/01/2019;59,71Ê$
30/01/2019;60,93Ê$
31/01/2019;61,19Ê$
01/02/2019;60,96Ê$
04/02/2019;62,33Ê$
05/02/2019;62,07Ê$
06/02/2019;62,30Ê$
07/02/2019;61,57Ê$
08/02/2019;61,37Ê$
11/02/2019;61,40Ê$
12/02/2019;61,88Ê$
13/02/2019;62,94Ê$
14/02/2019;64,28Ê$
15/02/2019;64,87Ê$
18/02/2019;66,03Ê$
19/02/2019;65,79Ê$
20/02/2019;65,97Ê$
21/02/2019;66,50Ê$
22/02/2019;66,56Ê$
25/02/2019;65,36Ê$
26/02/2019;64,08Ê$
27/02/2019;64,97Ê$
28/02/2019;65,28Ê$
01/03/2019;65,32Ê$
04/03/2019;64,86Ê$
05/03/2019;64,98Ê$
06/03/2019;65,04Ê$
07/03/2019;65,57Ê$
08/03/2019;64,78Ê$
11/03/2019;66,01Ê$
12/03/2019;66,30Ê$
13/03/2019;66,60Ê$
14/03/2019;67,29Ê$
15/03/2019;66,91Ê$
18/03/2019;66,87Ê$
19/03/2019;67,25Ê$
20/03/2019;67,54Ê$
21/03/2019;67,78Ê$
22/03/2019;66,67Ê$
25/03/2019;66,19Ê$
26/03/2019;67,03Ê$
27/03/2019;67,15Ê$
28/03/2019;66,38Ê$
29/03/2019;67,23Ê$
01/04/2019;68,31Ê$
02/04/2019;68,83Ê$
03/04/2019;69,12Ê$
04/04/2019;68,76Ê$
05/04/2019;69,02Ê$
08/04/2019;70,33Ê$
09/04/2019;70,35Ê$
10/04/2019;70,31Ê$
11/04/2019;70,41Ê$
12/04/2019;70,44Ê$
15/04/2019;70,21Ê$
16/04/2019;70,11Ê$
17/04/2019;70,81Ê$
18/04/2019;70,83Ê$
22/04/2019;72,44Ê$
23/04/2019;73,37Ê$
24/04/2019;73,43Ê$
25/04/2019;74,04Ê$
26/04/2019;72,38Ê$
29/04/2019;71,07Ê$
30/04/2019;71,91Ê$
01/05/2019;72,00Ê$
02/05/2019;70,98Ê$
03/05/2019;70,61Ê$
06/05/2019;70,23Ê$
07/05/2019;70,45Ê$
08/05/2019;69,88Ê$
09/05/2019;69,66Ê$
10/05/2019;70,66Ê$
13/05/2019;71,21Ê$
14/05/2019;70,66Ê$
15/05/2019;71,26Ê$
