Fecha;Precio $
03/01/2023;82,07Ê$
04/01/2023;76,90Ê$
05/01/2023;75,79Ê$
06/01/2023;76,15Ê$
09/01/2023;77,57Ê$
10/01/2023;77,00Ê$
11/01/2023;78,23Ê$
12/01/2023;80,73Ê$
13/01/2023;81,86Ê$
16/01/2023;82,25Ê$
17/01/2023;83,30Ê$
18/01/2023;84,62Ê$
19/01/2023;82,60Ê$
20/01/2023;84,90Ê$
23/01/2023;85,45Ê$
24/01/2023;84,89Ê$
25/01/2023;84,59Ê$
26/01/2023;84,47Ê$
27/01/2023;85,31Ê$
30/01/2023;83,45Ê$
31/01/2023;81,95Ê$
01/02/2023;82,82Ê$
02/02/2023;80,43Ê$
03/02/2023;79,36Ê$
06/02/2023;78,20Ê$
07/02/2023;80,50Ê$
08/02/2023;81,86Ê$
09/02/2023;82,78Ê$
10/02/2023;83,62Ê$
13/02/2023;84,23Ê$
14/02/2023;84,37Ê$
15/02/2023;82,95Ê$
16/02/2023;83,76Ê$
17/02/2023;81,73Ê$
20/02/2023;82,02Ê$
21/02/2023;81,94Ê$
22/02/2023;80,52Ê$
23/02/2023;80,53Ê$
24/02/2023;82,04Ê$
27/02/2023;81,64Ê$
28/02/2023;81,91Ê$
01/03/2023;82,57Ê$
02/03/2023;83,20Ê$
03/03/2023;83,80Ê$
06/03/2023;84,59Ê$
07/03/2023;84,37Ê$
08/03/2023;82,12Ê$
09/03/2023;82,05Ê$
10/03/2023;80,72Ê$
13/03/2023;81,88Ê$
14/03/2023;78,92Ê$
15/03/2023;76,22Ê$
16/03/2023;73,75Ê$
17/03/2023;74,11Ê$
20/03/2023;70,77Ê$
21/03/2023;73,96Ê$
22/03/2023;74,75Ê$
23/03/2023;75,88Ê$
24/03/2023;74,60Ê$
27/03/2023;75,01Ê$
28/03/2023;77,63Ê$
29/03/2023;77,72Ê$
30/03/2023;77,53Ê$
31/03/2023;78,12Ê$
03/04/2023;84,84Ê$
04/04/2023;85,50Ê$
05/04/2023;85,49Ê$
06/04/2023;85,17Ê$
10/04/2023;85,50Ê$
11/04/2023;85,41Ê$
12/04/2023;86,64Ê$
13/04/2023;87,77Ê$
14/04/2023;86,80Ê$
17/04/2023;86,43Ê$
18/04/2023;85,51Ê$
19/04/2023;84,41Ê$
20/04/2023;82,42Ê$
21/04/2023;81,86Ê$
24/04/2023;82,30Ê$
25/04/2023;82,95Ê$
26/04/2023;81,12Ê$
27/04/2023;78,40Ê$
28/04/2023;79,98Ê$
01/05/2023;80,03Ê$
02/05/2023;78,55Ê$
03/05/2023;73,75Ê$
04/05/2023;73,26Ê$
05/05/2023;74,29Ê$
08/05/2023;76,54Ê$
09/05/2023;76,31Ê$
10/05/2023;76,60Ê$
11/05/2023;76,69Ê$
12/05/2023;74,46Ê$
15/05/2023;74,45Ê$
16/05/2023;75,22Ê$
17/05/2023;74,60Ê$
18/05/2023;76,06Ê$
19/05/2023;75,71Ê$
22/05/2023;75,24Ê$
23/05/2023;75,96Ê$
24/05/2023;77,49Ê$
25/05/2023;76,94Ê$
26/05/2023;76,25Ê$
29/05/2023;76,88Ê$
30/05/2023;75,19Ê$
31/05/2023;73,07Ê$
01/06/2023;72,79Ê$
02/06/2023;73,33Ê$
05/06/2023;77,09Ê$
06/06/2023;75,46Ê$
07/06/2023;76,03Ê$
08/06/2023;76,55Ê$
09/06/2023;75,85Ê$
12/06/2023;72,96Ê$
13/06/2023;73,06Ê$
14/06/2023;74,84Ê$
15/06/2023;74,20Ê$
16/06/2023;75,89Ê$
19/06/2023;76,45Ê$
20/06/2023;76,85Ê$
21/06/2023;77,24Ê$
22/06/2023;76,83Ê$
23/06/2023;74,14Ê$
26/06/2023;74,65Ê$
27/06/2023;75,15Ê$
28/06/2023;74,38Ê$
29/06/2023;74,34Ê$
30/06/2023;76,14Ê$
03/07/2023;76,12Ê$
04/07/2023;76,18Ê$
05/07/2023;76,60Ê$
06/07/2023;77,56Ê$
07/07/2023;78,43Ê$
10/07/2023;79,09Ê$
11/07/2023;79,67Ê$
12/07/2023;80,63Ê$
13/07/2023;81,53Ê$
14/07/2023;82,06Ê$
17/07/2023;80,05Ê$
18/07/2023;80,33Ê$
19/07/2023;81,46Ê$
20/07/2023;81,28Ê$
21/07/2023;81,99Ê$
24/07/2023;83,19Ê$
25/07/2023;84,64Ê$
26/07/2023;84,82Ê$
27/07/2023;84,88Ê$
