;;
2022-10-10;99,13 $;
2022-10-11;96,03 $;
2022-10-12;95,12 $;
2022-10-13;93,66 $;
2022-10-14;94,17 $;
2022-10-17;92,16 $;
2022-10-18;90,82 $;
2022-10-19;89,29 $;
2022-10-20;92,48 $;
2022-10-21;92,09 $;
2022-10-24;92,17 $;
2022-10-25;92,56 $;
2022-10-26;93,32 $;
2022-10-27;94,73 $;
2022-10-28;95,01 $;
2022-10-31;93,17 $;
2022-11-01;94,43 $;
2022-11-02;94,74 $;
2022-11-03;93,51 $;
2022-11-04;96,15 $;
2022-11-07;97,32 $;
2022-11-08;95,99 $;
2022-11-09;93,22 $;
2022-11-10;91,32 $;
2022-11-11;94,81 $;
2022-11-14;94,42 $;
2022-11-15;91,16 $;
2022-11-16;91,72 $;
2022-11-17;90,52 $;
2022-11-18;87,65 $;
2022-11-21;84,18 $;
2022-11-22;86,20 $;
2022-11-23;85,19 $;
2022-11-24;81,52 $;
2022-11-25;83,80 $;
2022-11-28;79,93 $;
2022-11-29;83,42 $;
2022-11-30;83,13 $;
2022-12-01;84,39 $;
2022-12-02;83,97 $;
2022-12-05;83,16 $;
2022-12-06;79,77 $;
2022-12-07;77,13 $;
2022-12-08;75,30 $;
2022-12-09;74,66 $;
2022-12-12;74,94 $;
2022-12-13;78,34 $;
2022-12-14;79,97 $;
2022-12-15;80,47 $;
2022-12-16;78,73 $;
2022-12-19;78,11 $;
2022-12-20;78,13 $;
2022-12-21;79,36 $;
2022-12-22;81,14 $;
2022-12-23;80,58 $;
2022-12-27;82,23 $;
2022-12-28;81,96 $;
2022-12-29;80,39 $;
2022-12-30;81,29 $;
